QIs	fisherP	significant
HVvsIGD	0.276600569219104	FALSE
HVvsEP	0.147966861580217	FALSE
HVvsGD	0.00288083960676571	TRUE
HVvsGS	0.0000982075289125625	TRUE
HVvsED	0.0000131098542613158	TRUE
HVvsPFS	0.939259366421445	FALSE
HVvsC	0.0003207641527358	TRUE
IGDvsEP	0.0509047163382208	FALSE
IGDvsGD	0.00136935907949164	TRUE
IGDvsGS	0.00551305422707765	TRUE
IGDvsED	8.54384844416405e-08	TRUE
IGDvsPFS	0.555810898482382	FALSE
IGDvsC	0.00104135718426333	TRUE
EPvsGD	0.0124026133509158	TRUE
EPvsGS	0.000031246535840815	TRUE
EPvsED	0.0000111460410606648	TRUE
EPvsPFS	0.566170846422572	FALSE
EPvsC	0.000335815054854292	TRUE
GDvsGS	0.154343451920417	FALSE
GDvsED	0.00177384493583837	TRUE
GDvsPFS	0.576104989382197	FALSE
GDvsC	0.000877153116342797	TRUE
GSvsED	0.00256880459258319	TRUE
GSvsPFS	0.00140177749430194	TRUE
GSvsC	0.0000593356073629661	TRUE
EDvsPFS	0.866042572364488	FALSE
EDvsC	0.00509097055460535	TRUE
PFSvsC	0.00567941197369796	TRUE
